epoch,accuracy,loss,val_accuracy,val_loss
0,0.67875,0.5867396960655848,0.796875,0.4162177024409175
1,0.82125,0.4155463714400927,0.828125,0.4128358392044902
2,0.8283333,0.38310578644275667,0.87109375,0.28038295032456517
3,0.84708333,0.33995152393976846,0.91015625,0.2713760109618306
4,0.86125,0.3231929757197698,0.84765625,0.4171298099681735
5,0.84875,0.34840225559969745,0.875,0.3048651125282049
6,0.86125,0.3201454728593429,0.875,0.275518168695271
7,0.8575,0.3307274080812931,0.87109375,0.3355067474767566
8,0.8616667,0.31766745204726854,0.828125,0.3534360146149993
9,0.87166667,0.30425209760665894,0.8671875,0.2543395475950092
10,0.86833334,0.29984847908218704,0.90234375,0.24515736266039312
11,0.86583334,0.3149636426071326,0.8046875,0.43861533608287573
12,0.84625,0.3528706318636735,0.80859375,0.4076874107122421
13,0.86291665,0.31318613241116205,0.859375,0.34697107784450054
14,0.8383333,0.36729266703128816,0.8671875,0.3341047582216561
15,0.8625,0.3149690462152163,0.88671875,0.31564200296998024
16,0.86541665,0.3138440266251564,0.8671875,0.2625162210315466
17,0.8675,0.3037732188403606,0.84375,0.29765076749026775
18,0.8695833,0.31014289289712904,0.8515625,0.3050515679642558
19,0.8691667,0.3056890408694744,0.88671875,0.26477481005713344
20,0.89375,0.2624160184959571,0.8828125,0.2572199613787234
21,0.89166665,0.2597522760430972,0.89453125,0.2570867729373276
22,0.87125,0.2981790306419134,0.8203125,0.34184389747679234
23,0.8779167,0.2817677566409111,0.86328125,0.3068879470229149
24,0.88625,0.2664379170536995,0.84375,0.31579859973862767
25,0.8908333,0.2577473065505425,0.84375,0.36294912081211805
26,0.88958335,0.25825049381703136,0.87890625,0.27909743366762996
27,0.8879167,0.26495419030388195,0.8828125,0.3039026972837746
28,0.8804167,0.2742847899844249,0.8515625,0.33034913474693894
29,0.88958335,0.2621186143408219,0.88671875,0.26967932702973485
